iter	Passed	Remaining
0	119	119157
1	120	60116
2	121	40442
3	122	30564
4	123	24616
5	124	20652
6	125	17853
7	127	15748
8	128	14104
9	129	12780
10	130	11689
11	130	10780
12	131	10009
13	132	9352
14	133	8790
15	135	8304
16	136	7874
17	137	7486
18	138	7131
19	139	6821
20	140	6543
21	141	6289
22	142	6053
23	143	5835
24	144	5636
25	145	5450
26	146	5281
27	147	5119
28	148	4968
29	149	4829
30	150	4701
31	151	4577
32	152	4460
33	153	4355
34	154	4259
35	155	4164
36	156	4073
37	157	3986
38	158	3903
39	159	3834
40	160	3761
41	161	3691
42	162	3624
43	163	3562
44	164	3500
45	165	3441
46	167	3386
47	168	3334
48	169	3281
49	169	3229
50	170	3181
51	172	3136
52	173	3092
53	174	3049
54	175	3007
55	175	2965
56	176	2926
57	177	2887
58	178	2850
59	179	2814
60	180	2779
61	181	2750
62	182	2719
63	183	2688
64	184	2658
65	185	2631
66	187	2605
67	188	2580
68	189	2554
69	190	2531
70	191	2506
71	192	2483
72	193	2461
73	194	2438
74	195	2417
75	197	2396
76	198	2376
77	199	2355
78	200	2335
79	201	2315
80	202	2295
81	203	2274
82	203	2251
83	204	2232
84	205	2214
85	206	2198
86	207	2181
87	208	2165
88	210	2150
89	211	2135
90	212	2119
91	213	2103
92	214	2088
93	215	2072
94	215	2057
95	217	2043
96	218	2029
97	218	2015
98	219	2001
99	220	1988
100	221	1975
101	222	1961
102	223	1949
103	224	1937
104	226	1926
105	227	1914
106	227	1902
107	228	1890
108	229	1879
109	230	1868
110	231	1857
111	232	1845
112	233	1835
113	234	1825
114	235	1814
115	236	1804
116	237	1793
117	238	1785
118	239	1775
119	240	1766
120	241	1756
121	242	1745
122	243	1736
123	244	1727
124	245	1717
125	246	1709
126	247	1699
127	248	1690
128	249	1681
129	250	1673
130	250	1664
131	251	1656
132	252	1648
133	253	1641
134	254	1633
135	255	1625
136	256	1618
137	257	1610
138	258	1604
139	260	1597
140	261	1590
141	261	1582
142	263	1576
143	264	1570
144	265	1564
145	266	1557
146	267	1551
147	268	1545
148	269	1538
149	270	1531
150	271	1525
151	272	1519
152	273	1513
153	274	1507
154	275	1500
155	276	1494
156	277	1487
157	277	1481
158	278	1474
159	279	1468
160	280	1460
161	281	1454
162	282	1449
163	283	1444
164	284	1439
165	285	1434
166	286	1428
167	287	1422
168	288	1416
169	289	1411
170	289	1405
171	290	1400
172	291	1395
173	292	1390
174	293	1385
175	294	1380
176	295	1375
177	296	1370
178	297	1366
179	298	1362
180	300	1357
181	300	1352
182	301	1347
183	302	1342
184	303	1337
185	304	1332
186	305	1327
187	306	1323
188	307	1319
189	308	1314
190	309	1310
191	310	1306
192	311	1302
193	312	1298
194	313	1295
195	314	1290
196	315	1286
197	316	1282
198	317	1278
199	318	1274
